date_added,url,title,description,category,week_number,year
2025-03-22,https://www.livescience.com/space/astronauts-dropped-tool-bag,Astronauts accidentally dropped a tool bag on a spacewalk,,space,12,2025
2025-03-24,https://www.bbc.com/travel/article/20250227-is-there-no-such-thing-as-italian-cuisine,Is there no such thing as Italian cuisine?,,food,12,2025
2025-03-24,https://www.nytimes.com/2025/01/22/nyregion/condo-tower-restaurants.html,"At a Deluxe Dining Room on the 100th Floor, a Chef Toils in Obscurity",,,12,2025
2025-03-29,https://www.oed.com/discover/new-words-from-around-the-world-oed-march-2025-update/,New words added in The Oxford English Dictionary (2025),,,13,2025
2025-03-29,https://www.bbc.co.uk/culture/article/20250311-rembrandt-to-picasso-five-ways-to-spot-a-fake-masterpiece,Rembrandt to Picasso: Five ways to spot a fake masterpiece,,culture,13,2025
2025-03-29,https://www.economist.com/science-and-technology/2025/03/20/why-dont-seals-drown,Why don't seals drown?,,science,13,2025
2025-04-06,https://www.wired.com/story/inside-arxiv-most-transformative-code-science/,"Inside arXiv—the Most Transformative Platform in All of Science",The story of Paul Ginsparg,science,14,2025
2025-04-06,https://www.nytimes.com/2025/01/02/dining/saffron-farming-crop.html,"Saffron, the World's Most Expensive Spice, Is Now Grown in the U.S.",,food,14,2025
2025-04-06,https://www.afghanistan-analysts.org/en/reports/context-culture/new-lives-in-the-city-how-taleban-have-experienced-life-in-kabul/,New Lives in the City: How Taleban have experienced life in Kabul,"To be honest, every time I go with them, they pressure me to play and listen to music in the car. At first, I was resisting, but now I have given in, with the one condition that they turn it off when passing through security checkpoints because many other Taleban don’t like it, and it’s bad for a Taleb to be seen listening to it.",world,14,2025
2025-04-13,https://www.theguardian.com/news/2025/apr/10/deep-cover-kgb-spy-recruited-son-peter-herrmann-illegals, How a deep-cover KGB spy recruited his own son, The Americans irl,world,15,2025
2025-04-13,https://techcrunch.com/2025/04/10/fintech-founder-charged-with-fraud-after-ai-shopping-app-found-to-be-powered-by-humans-in-the-philippines/,Fintech founder charged with fraud after AI shopping app found to be powered by humans in the Philippines,,tech,15,2025
2025-04-13,https://www.espn.in/espn/story/_/id/44192592/astronaut-suni-williams-starliner-runs-international-space-station-return-earth,Suni Williams running a marathon in space,,space,15,2025
